business_age,education_years,age,female,nature_value,tourism_value,value_ha_cattle,value_ha_timber,d_compost,tourism_incomes,agro_incomes,otherjobs_incomes,pensions_incomes,leases_incomes,dividens_incomes,charity_incomes,other_incomes,food_expend,clean_expend,transport_expend,rent_expend,services_expend,recreation_expend,durables_expend,remittances_expend,health_expend,education_expend,taxes_expend,other_expend
30.5,16,30,0,5,5,.2,5.5,0,0,0,1,0,0,0,0,.1,.40000001,.050000001,.079999998,0,.064999998,.1,.15000001,0,.039999999,0,0,.13500001
.83333331,13,28,0,5,5,.2,5.5,0,.69999999,0,1.2,0,0,0,0,0,.60000002,.2,.15000001,0,.079999998,.079999998,.02,0,.050000001,.15000001,.18000001,0
4.5,1,62,1,3,5,.2,5.5,1,.87,0,0,0,0,0,0,0,.33000001,.07,.12,0,.062700003,.1,.066,0,0,0,.0099999998,0
11,5,49,1,5,5,.2,5.5,1,.12,0,.80000001,0,0,0,0,0,.2,.050000001,0,.30000001,.1,0,.050000001,0,.02,0,0,0
1.75,13,60,1,5,5,.2,5.5,1,.13500001,0,3,0,0,0,0,0,.89999998,.30000001,0,0,.30000001,0,.1,0,.108,0,0,.035
4.5,2,51,0,5,5,.2,15,1,.0099999998,.30000001,0,0,0,0,0,0,.1,.029999999,.024,.059999999,.029999999,.026000001,.02,0,.0099999998,0,0,0
4,11,35,1,5,5,.2,5.5,1,0,0,1,0,0,0,0,0,.60000002,.2,.2,.25,.12,0,.125,0,0,.13,.0083999997,0
4,13,36,0,5,5,.2,5.5,0,1,0,0,0,0,0,0,.40000001,.30000001,.2,.30000001,0,.2,.1,.1,0,.050000001,.15000001,0,0
9.25,11,54,1,5,5,.2,5.5,1,.44999999,0,.1,0,.60000002,0,0,0,.47999999,.11,.23999999,0,.15000001,.085000001,.1,0,.079999998,.035,.0625,.23
1,16,40,1,5,5,.2,5.5,0,0,0,3.5,0,0,0,.40000001,0,.40000001,.1,.1,0,.079999998,.1,.60000002,.15000001,.28,.30000001,0,.47
4.5,9,22,1,5,5,.2,5.5,1,0,0,0,0,0,0,0,0,.34999999,.1,.2,0,.12,.1,.079999998,0,.1,0,0,0
4.5,5,55,1,5,5,.2,5.5,1,.866,0,0,0,0,0,0,0,.34999999,.1,.012,0,.11,.1,.079999998,0,.11,0,0,0
11.25,3,56,0,4,5,.2,5.5,1,0,0,0,0,0,0,0,0,.25,.050000001,.029999999,0,.098999999,.1,.125,.40000001,.0099999998,.583,.0099999998,0
4.5,12,37,1,5,5,.2,5.5,1,0,0,1.1,0,0,0,0,0,.5,.1,.050000001,0,.039999999,.1,.1,0,.22,.050000001,0,0
20,11,47,0,5,5,.2,5.5,1,.40000001,0,0,0,0,0,0,0,.40000001,.050000001,.1,0,.050000001,.029999999,.029999999,.60000002,.12,.02,0,.050000001
1,13,30,0,5,5,.2,5.5,1,.87699997,.80000001,0,0,0,0,0,0,.40000001,.2,.07,0,.050000001,.1,.075000003,0,0,.11,.1,0
2,5,74,0,5,5,.2,5.5,0,.30000001,.1,.2,0,0,0,.050000001,0,.5,.1,.079999998,0,.050000001,.029999999,.050000001,0,.029999999,.12,0,0
4.5,9,37,0,5,5,.1,5.5,0,.1,.40000001,.5,0,0,0,0,0,.30000001,.1,.079999998,0,.025,.2,.029999999,.029999999,0,.02,.0040000002,.2
4.5,4,64,1,4,4,.2,5.5,1,.059999999,0,0,0,0,0,.15000001,.079999998,.029999999,.02,0,0,.039999999,0,.0099999998,0,0,0,.0099999998,0
1,13,42,1,5,5,.032400001,5.5,1,0,.69999999,0,0,.34999999,0,0,0,1,.5,.2,0,.266,0,.050000001,.2,.34,0,.234,0
11,16,50,0,5,5,.2,5.5,1,.2,0,1.5,0,0,0,0,0,.60000002,.40000001,.60000002,0,.40000001,.60000002,.2,.30000001,.13,0,.16,0
